"Keyword Version: static","Revision: 2022-01-10 17:52:40","Timestamp: 2022-01-19 17:23:35","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.uat.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=xml","Case native"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","OGO-2","Orbiting Geophysical Observatory-2","40b55ae6-fce7-46f1-aa84-ef7313056289"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","OGO-3","Orbiting Geophysical Observatory-3","52dcf6a3-8b08-40a4-acb0-3c1c2fdc55cc"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","OGO-4","Orbiting Geophysical Observatory-4","ff60d0cf-4665-40b6-b375-dd59dba896f9"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","OGO-5","Orbiting Geophysical Observatory-5","38eefa42-2943-43d6-9186-d797d089c9df"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","OGO-6","Orbiting Geophysical Observatory-6","fa5f5aff-4c2f-4613-b082-28454520544e"
"Space-based Platforms","Earth Observation Satellites","Orbiting Carbon Observatory","","","e57b586f-09ba-45ad-868c-4c232d6034b4"
"Space-based Platforms","Earth Observation Satellites","Pleiades","Pleiades-1A","Pleiades-1A","a0b1f332-41b9-4eec-8a9e-67778193a679"
"Space-based Platforms","Earth Observation Satellites","Pleiades","Pleiades-1B","Pleiades-1B","92bdb34f-5df0-498d-b3c9-477ff3a1f80a"
"Space-based Platforms","Earth Observation Satellites","Pleiades","","","516a9bb2-0171-4ad2-8d4f-3f7d1219d393"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA POES","NOAA Polar Orbiting Environmental Satellites","a2620edb-fa1b-4e76-99db-581a1766f22a"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-10","National Oceanic & Atmospheric Administration-10","19ca6acd-5a83-4f3c-8237-fd3178dad1af"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-11","National Oceanic & Atmospheric Administration-11","b2e2ad86-b73f-44fd-9992-6f32820ea847"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-12","National Oceanic & Atmospheric Administration-12","6b3f1f0f-353b-45b7-9dc0-567afa2c82c5"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-13","National Oceanic & Atmospheric Administration-13","4357816a-ede9-4a78-852c-fd6474671567"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-14","National Oceanic & Atmospheric Administration-14","d4bfa8e2-4ce3-482e-8b2a-1297f65fdc8a"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-15","National Oceanic & Atmospheric Administration-15","7441d55f-26c8-4f7f-ad75-1402c6a6e470"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-16","National Oceanic & Atmospheric Administration-16","53a886bf-db3f-4b8c-a111-ba6593dae207"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-17","National Oceanic & Atmospheric Administration-17","b4d60d40-59b9-46ab-a4c5-a2e534680b05"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-18","National Oceanic & Atmospheric Administration-18","37afee26-f2fd-47df-b8e0-7cccd71e6b8c"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-19","National Oceanic & Atmospheric Administration-19","b7461b99-2b6f-460a-ae7f-6bb37515684d"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-1","National Oceanic & Atmospheric Administration-1","f80b13a8-7692-4d1a-be08-851544cd0cde"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-2","National Oceanic & Atmospheric Administration-2","52354476-6975-457e-9d1d-e0f3b5e8f407"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-3","National Oceanic & Atmospheric Administration-3","613988b8-740a-461d-a24f-39cc84a8ba8d"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-4","National Oceanic & Atmospheric Administration-4","3e1c1312-4559-4318-a64f-d7aafd08550b"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-5","National Oceanic & Atmospheric Administration-5","550199a6-a331-4392-b5d3-30270c83f773"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-6","National Oceanic & Atmospheric Administration-6","b8b9a664-2e7e-4dae-8efc-1ce4ace7ac63"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-7","National Oceanic & Atmospheric Administration-7","fd4a398d-682c-4748-8349-83a8aa47cebf"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-8","National Oceanic & Atmospheric Administration-8","a6a7b0e4-f58a-42fe-b723-d6405d4afde2"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","NOAA-9","National Oceanic & Atmospheric Administration-9","304d5731-5627-4f4a-9b9e-3de6f39f9b3d"
"Space-based Platforms","Earth Observation Satellites","Polar Orbiting Environmental Satellites (POES)","","","e8baa3a4-ef5a-455a-bf25-d61e59fc9bb3"
"Space-based Platforms","Earth Observation Satellites","Quickbird","QUICKBIRD-2","DigitalGlobe's QuickBird-2","4240f2ff-8d4a-438d-bbae-f62ae3504922"
"Space-based Platforms","Earth Observation Satellites","Quickbird","QUICKBIRD","DigitalGlobe's QuickBird","04c144cb-2195-4dd7-a7d3-8dacfb550abd"
"Space-based Platforms","Earth Observation Satellites","Quickbird","","","2760ac04-0903-4eb2-a3f9-8f6b853b8ab7"
"Space-based Platforms","Earth Observation Satellites","Radarsat","RADARSAT-1","","d5e3bc6f-fea5-453e-9942-6ce982bca119"
"Space-based Platforms","Earth Observation Satellites","Radarsat","RADARSAT-2","","b9c23439-5e16-4329-b719-4704dd7903e6"
"Space-based Platforms","Earth Observation Satellites","Radarsat","","","705a396b-83dd-4223-b8be-f002f6b93502"
"Space-based Platforms","Earth Observation Satellites","Resurs","RESURS-O1","","75227aec-09d6-47e5-bdd1-4eeed285ff9b"
"Space-based Platforms","Earth Observation Satellites","Resurs","Resurs DK 1","Environmental Satellite Resurs-DK N1","ff2141a6-5682-44da-88fc-9a4e78de35ad"
"Space-based Platforms","Earth Observation Satellites","Resurs","Resurs-P N1","Environmental Satellite Resurs-P N1","a7560954-fe13-4e8a-bb12-1289154a3a24"
"Space-based Platforms","Earth Observation Satellites","Resurs","Resurs-P N2","Environmental Satellite Resurs-P N2","b00d17a2-b509-4b42-86fd-d50bf50cfc3c"
"Space-based Platforms","Earth Observation Satellites","Resurs","","","ef6c9735-8d68-4432-9e5e-a2c1ccd2fa90"
"Space-based Platforms","Earth Observation Satellites","Satelite de Aplicaciones Cientifico (SAC)","SAC-A","Satelite de Aplicaciones Cientifico - A","f3be80dc-37f6-44b9-afd4-37c261c13367"
"Space-based Platforms","Earth Observation Satellites","Satelite de Aplicaciones Cientifico (SAC)","SAC-C","Satelite de Aplicaciones Cientifico - C","12fff8c1-4062-48ce-a85e-ef85cc6fc370"
"Space-based Platforms","Earth Observation Satellites","Satelite de Aplicaciones Cientifico (SAC)","SAC-D","Satélite de Aplicaciones Científico - D","fb9164bb-4dba-4598-ba56-cb24d8db5527"
"Space-based Platforms","Earth Observation Satellites","Satelite de Aplicaciones Cientifico (SAC)","","","ea7e0cb4-5764-4ca4-89f6-913b22a47eff"
"Space-based Platforms","Earth Observation Satellites","Sentinel-1","Sentinel-1A","Sentinel-1A","c7279e54-f7c1-4ee7-a957-719d6021a3f6"
"Space-based Platforms","Earth Observation Satellites","Sentinel-1","Sentinel-1B","Sentinel-1B","9940dbad-1a9a-4858-a0e8-af35b21277e2"
"Space-based Platforms","Earth Observation Satellites","Sentinel-1","","","007c3084-89db-458e-8387-14e192b6cb8e"
"Space-based Platforms","Earth Observation Satellites","Sentinel-2","Sentinel-2A","Sentinel-2A","6f1c359b-b1a6-47c1-979e-0689e637fbdc"
"Space-based Platforms","Earth Observation Satellites","Sentinel-2","Sentinel-2B","Sentinel-2B","f2445400-1981-4ef3-bf7c-f4aa35923ae9"
"Space-based Platforms","Earth Observation Satellites","Sentinel-2","","","2ce20983-98b2-40b9-bb0e-a08074fb93b3"
"Space-based Platforms","Earth Observation Satellites","Sentinel-3","Sentinel-3A","Sentinel-3A","5449d87b-5573-450f-8acb-2fdfeab3c8ce"
"Space-based Platforms","Earth Observation Satellites","Sentinel-3","Sentinel-3B","Sentinel-3B","41163801-6aac-43e5-aed7-9f52613a6a73"
"Space-based Platforms","Earth Observation Satellites","Sentinel-3","","","8a19f309-46ee-424b-be9f-e7e57e5b8ca0"
"Space-based Platforms","Earth Observation Satellites","Sentinel-5","Sentinel-5P","Sentinel-5 Precursor","77e9a75e-2c3b-428b-8b21-b6a902dd8fee"
"Space-based Platforms","Earth Observation Satellites","Sentinel-5","","","dc626ae7-1ebe-4b9d-9b73-c048fa92434f"
"Space-based Platforms","Earth Observation Satellites","Sentinel-6","Sentinel-6A","Sentinel-6A","1f0f5178-9d7a-41ae-8f04-d6262415c30c"
"Space-based Platforms","Earth Observation Satellites","Sentinel-6","","","0df95c0e-77a5-46b5-94f4-3e5ae1391450"
"Space-based Platforms","Earth Observation Satellites","Swarm","Swarm-A","","054787a6-0c47-43af-a4ee-05c572dd1705"
"Space-based Platforms","Earth Observation Satellites","Swarm","Swarm-B","","ab7f9a64-ca5d-4795-94ff-fd5367d39f9f"
"Space-based Platforms","Earth Observation Satellites","Swarm","Swarm-C","","769a52d4-7db1-4b8e-8d39-6fee4e74d34f"
"Space-based Platforms","Earth Observation Satellites","Swarm","","","1d6d5f82-acd5-4bd2-9324-12884718b353"
"Space-based Platforms","Earth Observation Satellites","Synchronous Meteorological Satellites (SMS)","SMS-1","Synchronous Meteorological Satellite 1","3cb9e3b6-5d97-4258-a546-7a955c76cb8b"
"Space-based Platforms","Earth Observation Satellites","Synchronous Meteorological Satellites (SMS)","SMS-2","Synchronous Meteorological Satellite 2","ca25d8a5-40d0-4eb7-9f3f-9c97074ef1be"
"Space-based Platforms","Earth Observation Satellites","Synchronous Meteorological Satellites (SMS)","SMS","Synchronous Meteorological Satellites","389f0bec-1032-4b0b-9118-033c9b07402f"
"Space-based Platforms","Earth Observation Satellites","Synchronous Meteorological Satellites (SMS)","","","9abcdc9a-6442-4e2e-848a-8b72b954896c"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-1","Systeme Probatoire Pour l'Observation de la Terre-1","807f2f4d-1c2e-43ed-87f2-17d7dcced093"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-2","Systeme Probatoire Pour l'Observation de la Terre-2","9a59260a-16a7-4853-8920-35ede91561ee"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-3","Systeme Probatoire Pour l'Observation de la Terre-3","d333cd96-f1f0-4179-9fbc-162b18fcb8c8"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-4","Systeme Probatoire Pour l'Observation de la Terre-4","5fe45cae-f4ce-4287-8af8-0d824807f3fc"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-5","Systeme Probatoire Pour l'Observation de la Terre-5","08e3f2c8-0d9d-4f94-b2fe-bb110b151134"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-6","Systeme Probatoire Pour l'Observation de la Terre-6","b5b5a3c9-a393-4766-a7d6-ef6c97969e78"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","SPOT-7","Systeme Probatoire Pour l'Observation de la Terre-7","5993e605-b045-43fb-bd9b-928892b7386d"
"Space-based Platforms","Earth Observation Satellites","Systeme Probatoire Pour l'Observation de la Terre (SPOT)","","","5615d18d-4217-42a0-a53d-77298834fc2e"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS-2","Television Infrared Observation Satellite-2","abcc3bb4-8f36-4008-b12e-d29b028ecad9"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS-3","Television Infrared Observation Satellite-3","0752330f-2d01-4129-89da-8544369206cb"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS-4","Television Infrared Observation Satellite-4","d6369522-f750-4946-9946-2d2ed6ce56b5"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS-7","Television Infrared Observation Satellite-7","d39b3bd9-de76-4a80-841f-57c9be70ed5b"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS-M","Television Infrared Observation Satellite-M","292335bb-5733-4f54-bb1f-84ab20f838f3"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS-N","Television Infrared Observation Satellite-N","51bf313d-a403-412e-b672-a1312e823675"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","TIROS","Television Infrared Observation Satellite","6096b1ec-25d5-4b9b-9358-a17d8b481646"
"Space-based Platforms","Earth Observation Satellites","Television Infrared Observation Satellite (TIROS)","","","75b34f33-a790-4164-9cc0-02a997279e61"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/01","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 01","66445c7d-6628-4955-8403-17cbe4a1de4a"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/02","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 02","5f2b1f43-f737-4236-8231-5f89d1802cf6"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/03","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 03","ccf920b3-c5a0-4408-8c84-0cc8743adc33"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/04","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 04","f1594cda-7e89-4cab-8c6f-02ee081b59a5"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/05","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 05","1071feea-75f0-49f7-a87a-9e08b153ccc3"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/06","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 06","bd1174ed-f4ed-463a-b372-de14e45d658b"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","TROPICS/07","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats - 07","9f7b095a-94af-4ca3-8917-d1e1b8b99b80"
"Space-based Platforms","Earth Observation Satellites","Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats (TROPICS)","","","eeecdc48-ff49-4f60-9419-3f99632fd660"
"Space-based Platforms","Earth Observation Satellites","Worldview","WORLDVIEW-1","DigitalGlobe WORLDVIEW-1","7f13b4d2-9114-4890-ac6d-30da1a333d74"
"Space-based Platforms","Earth Observation Satellites","Worldview","WORLDVIEW-2","DigitalGlobe WORLDVIEW-2","ff0ed18d-c476-4dc4-a248-d42ad74bb4a1"
"Space-based Platforms","Earth Observation Satellites","Worldview","WORLDVIEW-3","DigitalGlobe WORLDVIEW-3","dfb49f10-0755-464f-96b1-fc037802c86d"
"Space-based Platforms","Earth Observation Satellites","Worldview","WORLDVIEW-4","DigitalGlobe WORLDVIEW-4","341b5eb7-19bd-4337-83f3-885730103df1"
"Space-based Platforms","Earth Observation Satellites","Worldview","","","45694b28-c8a0-4a89-affc-082282ae9db0"
"Space-based Platforms","Earth Observation Satellites","","AJISAI","Experimental Geodetic Satellite (Japanese EGS)","3a152f3f-de95-4b7a-88c8-7c26fb4ba368"
"Space-based Platforms","Earth Observation Satellites","","ARGON","","d35399a9-d4dc-45f2-b69d-55160ac26d10"
"Space-based Platforms","Earth Observation Satellites","","ASIM","Atmosphere-Space Interactions Monitor on the ISS","f2b0301b-2f33-4048-9381-25a92226ed66"
"Space-based Platforms","Earth Observation Satellites","","Aeolus","Earth Explorer Atmospheric Dynamics Mission Aeolus","e31c4750-9903-4de7-95ef-faa9610f3a63"
"Space-based Platforms","Earth Observation Satellites","","Aquarius SAC-D","Aquarius SAC-D","e13d801e-19a3-4516-a64c-27f003b3d963"
"Space-based Platforms","Earth Observation Satellites","","Aqua","Earth Observing System, Aqua","ea7fd15d-190d-43f3-bdd3-75f5d88dc3f8"
"Space-based Platforms","Earth Observation Satellites","","Aura","Earth Observing System, Aura","59d2e030-5377-4b5b-92ce-f488d418c45f"
"Space-based Platforms","Earth Observation Satellites","","CASSIOPE","Cascade SmallSat and Ionospheric Polar Explorer","66f5d236-40fb-4a41-96a4-761d48103765"
"Space-based Platforms","Earth Observation Satellites","","CFOSAT","Chinese-French Oceanography Satellite","7c3fab1c-d17e-4e5c-870e-994793c2594e"
"Space-based Platforms","Earth Observation Satellites","","CHAMP","Challenging Minisatellite Payload","f5509236-8a81-4ebe-af91-d65aa58d4ab5"
"Space-based Platforms","Earth Observation Satellites","","CLARREO Pathfinder","","6bfd2526-e039-40e0-9abe-ac370f755d20"
"Space-based Platforms","Earth Observation Satellites","","COMS","Communication, Ocean and Meteorological Satellite","ec484699-009f-4f39-93aa-d11379b4288a"
"Space-based Platforms","Earth Observation Satellites","","CORIOLIS","Coriolis","bac2e743-1d02-4868-8bd6-b8b8741e3794"
"Space-based Platforms","Earth Observation Satellites","","CORONA","","14bedb8d-7d18-4ae6-9882-9cf87bd3824e"
"Space-based Platforms","Earth Observation Satellites","","CRRES","Combined Release and Radiation Effects Satellite","c0f0a8dc-bcfd-4959-bb06-692501b9c2bb"
"Space-based Platforms","Earth Observation Satellites","","CRYOSAT","CRYOSAT","e377ef25-1612-4b8d-ac98-54e3977d7e31"
"Space-based Platforms","Earth Observation Satellites","","CYGNSS","Cyclone Global Navigation Satellite System","18fd52d4-c60c-4ef5-b39a-960ae9916472"
"Space-based Platforms","Earth Observation Satellites","","DASH-2","","4ccfdd4d-3ec2-412d-b49e-fccf2cdc7c35"
"Space-based Platforms","Earth Observation Satellites","","ENVISAT","Environmental Satellite","a1498dff-002d-4d67-9091-16822c608221"
"Space-based Platforms","Earth Observation Satellites","","EO-1","Earth Observing 1","19a621c6-f735-4972-ab32-fcf001a38a46"
"Space-based Platforms","Earth Observation Satellites","","EP-TOMS","Earth Probe-TOMS","16d6e31d-f61a-4caa-b51d-8648a4e915c9"
"Space-based Platforms","Earth Observation Satellites","","ERBS","Earth Radiation Budget Satellite","d69f8964-e168-489e-9bda-a273f9a3a167"
"Space-based Platforms","Earth Observation Satellites","","EXOS-A","","5753c582-923c-4b37-9985-c2dc006c6337"
"Space-based Platforms","Earth Observation Satellites","","EarthCARE","Earth Clouds, Aerosol and Radiation Explorer","bf66ef8c-acc5-4c2f-b519-db0cbee37c99"
"Space-based Platforms","Earth Observation Satellites","","FASTSAT-1","Fast, Affordable, Science and Technology SATellite, 1","3fd43f36-3fbf-462b-8a3f-2eb6f5219b3e"
"Space-based Platforms","Earth Observation Satellites","","FLEX","Fluorescence Explorer (FLEX)","acfdfa87-7490-47db-a1dd-94a3bfb6a16d"
"Space-based Platforms","Earth Observation Satellites","","FORMOSAT-2","FORMOSAT-2","2a5acbda-7149-4bf7-8be2-9076f07e9b7f"
"Space-based Platforms","Earth Observation Satellites","","FSSCat","","b369f647-96ad-4418-84d2-ee5fed065863"
"Space-based Platforms","Earth Observation Satellites","","FengYun-1","","edf02962-aafa-484f-84e5-2549f6db7552"
"Space-based Platforms","Earth Observation Satellites","","GA-EMS OTB-2","General Atomics Electromagnetic Systems Orbital Test Bed 2","37f7b455-082f-4385-89d7-9292e9f9c750"
"Space-based Platforms","Earth Observation Satellites","","GCOM-C","Global Change Observation Mission – Climate","18512c09-2590-4804-8b43-dd9caea53b5d"
"Space-based Platforms","Earth Observation Satellites","","GCOM-W1","Global Change Observation Mission 1st-Water","8781da14-5ced-4d64-81cd-8daa10a1c30d"
"Space-based Platforms","Earth Observation Satellites","","GEO-KOMPSAT-2B","Geostationary - Korea Multi-Purpose Satellite-2","20950d05-0365-4984-9d9c-2c7845b4611a"
"Space-based Platforms","Earth Observation Satellites","","GEOEYE-1","GeoEye-1","47943416-e045-4d6d-b18e-3d1cc51734e0"
"Space-based Platforms","Earth Observation Satellites","","GEOSTATIONARY SATELLITES","","2c8530dc-b6cc-445f-87dc-36e76a1cb29c"
"Space-based Platforms","Earth Observation Satellites","","GFZ-1","GeoForschungsZentrum-1","976e92c4-150c-4068-bed5-60d5f030d7e2"
"Space-based Platforms","Earth Observation Satellites","","GLORY","","40e64334-e37c-4292-8b72-67c93bb24d41"
"Space-based Platforms","Earth Observation Satellites","","GOMS","Geostationary Operational Meteorological Satellite","55823c7c-0503-4012-911e-d503ff62f750"
"Space-based Platforms","Earth Observation Satellites","","GOSAT-2","Green-house gas Observing Satellite - 2","67c230f3-5587-4f74-84d1-4c24a74276e4"
"Space-based Platforms","Earth Observation Satellites","","GOSAT","Greenhouse Gases Observing Satellite","a21322af-38e0-4386-8e9b-9bf25cf30e16"
"Space-based Platforms","Earth Observation Satellites","","GPM","Global Precipitation Measurement","33a893cb-b328-462e-9cb0-d8c27823239e"
"Space-based Platforms","Earth Observation Satellites","","HCMM","Heat Capacity Mapping Mission","20dc9390-40d9-441e-86d2-4ab1e97a276b"
"Space-based Platforms","Earth Observation Satellites","","HEXAGON KH-9","HEXAGON KH-9 Reconnaissance Satellite","7d97b6ca-83de-44e1-8d3b-f45755e38a8d"
"Space-based Platforms","Earth Observation Satellites","","HY2-A","Haiyang-2A","fe07a2e4-a6cd-401c-af3e-433bbc8c2c98"
"Space-based Platforms","Earth Observation Satellites","","HY2-B","Haiyang-2B","7ef45b8e-ac63-41b2-9e8b-7becfa7d7431"
"Space-based Platforms","Earth Observation Satellites","","ICEYE","ICEYE","42c6ff80-849b-4ef5-b6ff-fd9416b8cf33"
"Space-based Platforms","Earth Observation Satellites","","ICON","Ionospheric Connection Explorer","4a3988a7-f1c6-4c0a-a93b-9221adbca49b"
"Space-based Platforms","Earth Observation Satellites","","IKONOS","IKONOS","c84a3a2f-b4a1-4306-9fcf-7d22ab12f252"
"Space-based Platforms","Earth Observation Satellites","","IMAGE","Imager for Magnetopause -to - Aurora Global Exploration","95985c5e-3904-4710-8f45-8157f0171a0a"
"Space-based Platforms","Earth Observation Satellites","","Kanopus-V","Environmental Satellite Kanopus-V","a93bb213-7862-4aa5-a113-38669e557a76"
"Space-based Platforms","Earth Observation Satellites","","LANYARD","","81d3b212-1f8f-4ac8-8292-dce0eb8f3a9c"
"Space-based Platforms","Earth Observation Satellites","","LAPAN-TUBSAT","","3e634ba7-19fc-45ce-9d50-14e108a567ef"
"Space-based Platforms","Earth Observation Satellites","","LARES","LAser Relativity Satellite","ef053df7-ff76-47f3-a335-5d4e87e51b92"
"Space-based Platforms","Earth Observation Satellites","","MAGSAT","","8ba6dbf3-9537-4c10-8254-128d49ef9c17"
"Space-based Platforms","Earth Observation Satellites","","MIDAS 2","Missile Defense Alarm System 2","cc93fc95-4b03-4d67-ab48-8216434a8944"
"Space-based Platforms","Earth Observation Satellites","","MMS","Magnetospheric Multiscale","76673a7f-44c8-4dde-83c2-1104b060061f"
"Space-based Platforms","Earth Observation Satellites","","MONITOR-E","","11212d0c-dd70-46ff-9082-ce3e44a49280"
"Space-based Platforms","Earth Observation Satellites","","MSTI-2","Miniature Sensor Technology Integration-2","68d7cb26-318b-4149-bb75-adc6e3863483"
"Space-based Platforms","Earth Observation Satellites","","MT1","Megha-Tropiques","9e09177b-bc72-41e9-921a-a4546f89e20a"
"Space-based Platforms","Earth Observation Satellites","","MTSAT-1R","Multi-functional Transport Satellite 1 Replacement","fc4a8eda-b910-4df6-8012-d573e5835707"
"Space-based Platforms","Earth Observation Satellites","","MTSAT-2","The Multi-functional Transport Satellite 2","02db0949-495c-4579-8ff5-d1a9079c88b7"
"Space-based Platforms","Earth Observation Satellites","","MTSAT","Multi-functional Transport Satellite","e3679e9e-5a95-46f4-a856-e51d459469fd"
"Space-based Platforms","Earth Observation Satellites","","NCEP GTS","National Centers for Environmental Prediction Global Telecommunications Systems","efdc8649-0ef2-4d41-999a-2bb104a06f34"
"Space-based Platforms","Earth Observation Satellites","","NISAR","NASA-ISRO Synthetic Aperture Radar","a6fddcb3-881b-484a-bbc9-39591b6359ab"
"Space-based Platforms","Earth Observation Satellites","","NPOESS (National Polar-orbiting Operational Environmental Satellite System )","","45ec5189-ffc5-452d-b365-f6989f1433f1"
"Space-based Platforms","Earth Observation Satellites","","ODIN","ODIN","1f7c6ae3-d38e-42b7-a874-60298b0fcfa1"
"Space-based Platforms","Earth Observation Satellites","","OKEAN-O","Ukranian-Russian Ocean Remote Sensing System","53d5ea21-07bb-44b5-88e6-3775e90ca528"
"Space-based Platforms","Earth Observation Satellites","","OSTM/JASON-2","Joint Altimetry Satellite Oceanography Network - 2","987f0e52-e554-475a-b680-50df620a520e"
"Space-based Platforms","Earth Observation Satellites","","Orbiting Geophysical Observatory (OGO)","Orbiting Carbon Observatory","3e77610e-bb50-4c45-a62a-c50194ec16c2"
"Space-based Platforms","Earth Observation Satellites","","PACE","Plankton, Aerosol, Cloud, ocean Ecosystem mission","eb4175de-3ee7-4897-bbbe-590ad7e09b4f"
"Space-based Platforms","Earth Observation Satellites","","PAGEOS 1","Passive Geodetic Earth Orbiting Satellite 1","43a6ecc5-a1d4-4b89-8d4d-e04a10264ab6"
"Space-based Platforms","Earth Observation Satellites","","PARASOL","Polarization and Anisotropy of Reflectances for Atmospheric Sciences coupled with Observations from a Lidar","aef6c60c-b5c5-46b9-9a84-d99a9c08b06a"
"Space-based Platforms","Earth Observation Satellites","","PAZ","SAR Observation Spanish Satellite","8ac70aba-53e7-45c0-8b4a-2c0197114b09"
"Space-based Platforms","Earth Observation Satellites","","PROBA-1","Project for On-Board Autonomy, PROBA-1","fe4a4604-029e-4cdc-93f0-6d8799dd25e5"
"Space-based Platforms","Earth Observation Satellites","","PROBA-2","Project for On-Board Autonomy, PROBA-2","ce3e3563-34ff-4a39-8c81-c9856758e403"
"Space-based Platforms","Earth Observation Satellites","","PROBA-3","Project for On-Board Autonomy, PROBA-3","96a26a3b-bd87-462e-b155-f57677bf4b83"
